Player,Pos,Age,Tm,G,GS,MP,FG_totals,FGA_totals,FGper_totals,X3P_totals,X3PA_totals,X3Pper,X2P_totals,X2PA_totals,X2Pper,eFGper_totals,FT_totals,FTA_totals,FTper,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,TOV_totals,PF_totals,PTS_totals,G_per_36,FG_per_36,FGA_per_36,FGper_per_36,X3P_per_36,X3PA_per_36,X2P_per_36,X2PA_per_36,FT_per_36,FTA_per_36,ORB_per_36,DRB_per_36,TRB_per_36,AST_per_36,STL_per_36,BLK_per_36,TOV_per_36,PF_per_36,PTS_per_36,G_advanced,PER_advanced,TSper_advanced,X3PAr_advanced,FTr_advanced,ORBper_advanced,DRBper_advanced,TRBper_advanced,ASTper_advanced,STLper_advanced,BLKper_advanced,TOVper_advanced,USGper_advanced,OWS_advanced,DWS_advanced,WS_advanced,WSper48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,possessions,ORPM,DRPM,RPM,WAR,pos_num,first_abbrev,last,combined_name
Quincy Acy,PF,24,NYK,68,22,1287,152,331,0.459,18,60,0.3,134,271,0.494,0.486,76,97,0.784,79,222,301,68,27,22,60,147,398,68,4.3,9.3,0.459,0.5,1.7,3.7,7.6,2.1,2.7,2.2,6.2,8.4,1.9,0.8,0.6,1.7,4.1,11.1,68,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1,0.7,1.7,0.063,-2.3,-0.8,-3.1,-0.3,340.4928,-3.85,1.17,-2.68,-0.26,4,Q,Acy,QAcy
Jordan Adams,SG,20,MEM,30,0,248,35,86,0.407,10,25,0.4,25,61,0.41,0.465,14,23,0.609,9,19,28,16,16,7,14,24,94,30,5.1,12.5,0.407,1.5,3.6,3.6,8.9,2,3.3,1.3,2.8,4.1,2.3,2.3,1,2,3.5,13.6,30,12.8,0.489,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,97.0752,-0.62,-0.61,-1.23,0.17,2,J,Adams,JAdams
Steven Adams,C,21,OKC,70,67,1771,217,399,0.544,0,2,0,217,397,0.547,0.544,103,205,0.502,199,324,523,66,38,86,99,222,537,70,4.4,8.1,0.544,0,0,4.4,8.1,2.1,4.2,4,6.6,10.6,1.3,0.8,1.7,2,4.5,10.9,70,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,373.632,-2.72,1.54,-1.18,1.3,5,S,Adams,SAdams
Jeff Adrien,PF,28,MIN,17,0,215,19,44,0.432,0,0,NA,19,44,0.432,0.432,22,38,0.579,23,54,77,15,4,9,9,30,60,17,3.2,7.4,0.432,0,0,3.2,7.4,3.7,6.4,3.9,9,12.9,2.5,0.7,1.5,1.5,5,10,17,14.2,0.494,0,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0.2,0.2,0.4,0.087,-2.7,0.5,-2.2,0,44.8512,-0.48,0.67,0.19,0.32,4,J,Adrien,JAdrien
Arron Afflalo,SG,29,TOT,78,72,2502,375,884,0.424,118,333,0.354,257,551,0.466,0.491,167,198,0.843,27,220,247,129,41,7,116,167,1035,78,5.4,12.7,0.424,1.7,4.8,3.7,7.9,2.4,2.8,0.4,3.2,3.6,1.9,0.6,0.1,1.7,2.4,14.9,78,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19,1.6,1,2.6,0.05,-0.5,-1.3,-1.8,0.1,1017.7152,-1.07,-1.86,-2.93,-0.91,2,A,Afflalo,AAfflalo
Arron Afflalo,SG,29,DEN,53,53,1750,281,657,0.428,82,243,0.337,199,414,0.481,0.49,127,151,0.841,21,159,180,101,32,5,83,108,771,53,5.8,13.5,0.428,1.7,5,4.1,8.5,2.6,3.1,0.4,3.3,3.7,2.1,0.7,0.1,1.7,2.2,15.9,53,11.7,0.533,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,0.05,0,-1.6,-1.6,0.2,754.0224,-1.07,-1.86,-2.93,-0.91,2,A,Afflalo,AAfflalo
Arron Afflalo,SG,29,POR,25,19,752,94,227,0.414,36,90,0.4,58,137,0.423,0.493,40,47,0.851,6,61,67,28,9,2,33,59,264,25,4.5,10.9,0.414,1.7,4.3,2.8,6.6,1.9,2.3,0.3,2.9,3.2,1.3,0.4,0.1,1.6,2.8,12.6,25,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,0.049,-1.5,-0.8,-2.3,-0.1,263.6928,-1.07,-1.86,-2.93,-0.91,2,A,Afflalo,AAfflalo
Alexis Ajinca,C,26,NOP,68,8,957,181,329,0.55,0,0,NA,181,329,0.55,0.55,81,99,0.818,104,211,315,47,21,51,69,151,443,68,6.8,12.4,0.55,0,0,6.8,12.4,3,3.7,3.9,7.9,11.8,1.8,0.8,1.9,2.6,5.7,16.7,68,19.9,0.595,0,0.301,12.4,25,18.7,8.2,1.2,4,15.6,21.1,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,324.0576,-1.01,0.9,-0.11,1.27,5,A,Ajinca,AAjinca
Furkan Aldemir,PF,23,PHI,41,9,540,40,78,0.513,0,5,0,40,73,0.548,0.513,13,27,0.481,78,98,176,28,17,16,17,96,93,41,2.7,5.2,0.513,0,0.3,2.7,4.9,0.9,1.8,5.2,6.5,11.7,1.9,1.1,1.1,1.1,6.4,6.2,41,12,0.517,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0.7,0.7,1.4,0.122,-2.7,2,-0.7,0.2,27.7248,-1.26,-2.29,-3.55,-0.41,4,F,Aldemir,FAldemir
Cole Aldrich,C,26,NYK,61,16,976,144,301,0.478,0,0,NA,144,301,0.478,0.478,50,64,0.781,101,237,338,75,37,65,59,122,338,61,5.3,11.1,0.478,0,0,5.3,11.1,1.8,2.4,3.7,8.7,12.5,2.8,1.4,2.4,2.2,4.5,12.5,61,18.1,0.513,0,0.213,11.6,28.9,20,13.3,2,5.5,15.2,18.3,0.8,1.4,2.2,0.107,-2.2,3.1,0.9,0.7,275.6736,-4.78,1.51,-3.27,-0.54,5,C,Aldrich,CAldrich
